#TYPE Selected.System.Management.Automation.PSCustomObject
"Loop","Index","FrequencyChanges","NewFrequency"
"1","0","+5","5"
"1","1","-11","-6"
"1","2","+17","11"
"1","3","+9","20"
"1","4","-4","16"
"1","5","-2","14"
"1","6","+11","25"
"1","7","-10","15"
"1","8","-16","-1"
"1","9","+18","17"
"1","10","+18","35"
"1","11","-2","33"
"1","12","-2","31"
"1","13","+17","48"
"1","14","+13","61"
"1","15","+14","75"
"1","16","-11","64"
"1","17","+19","83"
"1","18","-14","69"
"1","19","+8","77"
"1","20","+10","87"
"1","21","-3","84"
"1","22","-12","72"
"1","23","+13","85"
"1","24","-3","82"
"1","25","+18","100"
"1","26","-20","80"
"1","27","+8","88"
"1","28","+3","91"
"1","29","+8","99"
"1","30","+13","112"
"1","31","+9","121"
"1","32","+14","135"
"1","33","-11","124"
"1","34","-6","118"
"1","35","+16","134"
"1","36","-12","122"
"1","37","+14","136"
"1","38","-8","128"
"1","39","+3","131"
"1","40","-18","113"
"1","41","-11","102"
"1","42","+6","108"
"1","43","-2","106"
"1","44","-14","92"
"1","45","-2","90"
"1","46","+17","107"
"1","47","-2","105"
"1","48","+6","111"
"1","49","-1","110"
"1","50","-13","97"
"1","51","+20","117"
"1","52","+9","126"
"1","53","+14","140"
"1","54","-15","125"
"1","55","-16","109"
"1","56","+18","127"
"1","57","-4","123"
"1","58","-8","115"
"1","59","+5","120"
"1","60","+19","139"
"1","61","-1","138"
"1","62","+19","157"
"1","63","+11","168"
"1","64","-3","165"
"1","65","+16","181"
"1","66","-12","169"
"1","67","-6","163"
"1","68","+3","166"
"1","69","-7","159"
"1","70","-1","158"
"1","71","+4","162"
"1","72","-15","147"
"1","73","-5","142"
"1","74","+13","155"
"1","75","+9","164"
"1","76","+11","175"
"1","77","+2","177"
"1","78","+17","194"
"1","79","+12","206"
"1","80","-7","199"
"1","81","-16","183"
"1","82","+13","196"
"1","83","-11","185"
"1","84","-14","171"
"1","85","+22","193"
"1","86","+16","209"
"1","87","-8","201"
